step,block_name,auc
16,D3R1,0.73983
16,MidR0,0.75905
16,MidR1,0.76731
16,U0R0,0.75775
16,U0R1,0.74325
16,U0R2,0.75327
16,U1R0,0.82899
16,U1R1,0.81354
16,U1R2,0.78724
16,U2R0,0.76766
16,U2R1,0.73712
16,U2R2,0.73770
16,U3R0,0.79644
16,U3R1,0.81790
16,U3R2,0.79349
17,D0R0,0.65963
17,D0R1,0.71211
17,D1R0,0.73723
17,D1R1,0.71990
17,D2R0,0.71919
17,D2R1,0.70386
17,D3R0,0.78205
17,D3R1,0.74455
17,MidR0,0.76507
17,MidR1,0.77238
17,U0R0,0.76695
17,U0R1,0.76011
17,U0R2,0.75893
17,U1R0,0.82073
17,U1R1,0.80682
17,U1R2,0.79797
17,U2R0,0.76660
17,U2R1,0.74054
17,U2R2,0.74089
17,U3R0,0.80127
17,U3R1,0.82132
17,U3R2,0.80080
18,D0R0,0.66612
18,D0R1,0.72237
18,D1R0,0.74089
18,D1R1,0.71176
18,D2R0,0.69879
18,D2R1,0.70704
18,D3R0,0.79432
18,D3R1,0.75917
18,MidR0,0.77415
18,MidR1,0.76601
18,U0R0,0.76931
18,U0R1,0.77733
18,U0R2,0.76035
18,U1R0,0.80505
18,U1R1,0.79774
18,U1R2,0.79632
18,U2R0,0.77320
18,U2R1,0.75044
18,U2R2,0.74525
18,U3R0,0.80399
18,U3R1,0.82062
18,U3R2,0.80375
19,D0R0,0.66116
19,D0R1,0.72190
19,D1R0,0.74006
19,D1R1,0.69831
19,D2R0,0.68416
19,D2R1,0.71612
19,D3R0,0.80316
19,D3R1,0.77627
19,MidR0,0.78240
19,MidR1,0.76188
19,U0R0,0.77144
19,U0R1,0.79314
19,U0R2,0.76377
19,U1R0,0.78759
19,U1R1,0.78630
19,U1R2,0.78677
19,U2R0,0.77580
19,U2R1,0.75481
19,U2R2,0.74608
19,U3R0,0.80351
19,U3R1,0.81661
19,U3R2,0.80517
20,D0R0,0.66576
20,D0R1,0.72650
20,D1R0,0.73346
20,D1R1,0.67602
20,D2R0,0.67449
20,D2R1,0.72461
20,D3R0,0.81495
20,D3R1,0.78865
20,MidR0,0.79113
20,MidR1,0.76153
20,U0R0,0.78205
20,U0R1,0.80186
20,U0R2,0.76271
20,U1R0,0.77497
20,U1R1,0.77816
20,U1R2,0.76188
20,U2R0,0.78122
20,U2R1,0.76117
20,U2R2,0.74360
20,U3R0,0.79361
20,U3R1,0.80788
20,U3R2,0.80387
21,D0R0,0.66081
21,D0R1,0.72827
21,D1R0,0.72862
21,D1R1,0.65609
21,D2R0,0.67107
21,D2R1,0.72780
21,D3R0,0.81873
21,D3R1,0.79656
21,MidR0,0.79679
21,MidR1,0.75870
21,U0R0,0.79113
21,U0R1,0.80729
21,U0R2,0.76000
21,U1R0,0.76495
21,U1R1,0.77155
21,U1R2,0.74254
21,U2R0,0.78771
21,U2R1,0.76129
21,U2R2,0.73995
21,U3R0,0.78512
21,U3R1,0.79656
21,U3R2,0.80057
22,D0R0,0.66022
22,D0R1,0.72591
22,D1R0,0.72579
22,D1R1,0.64182
22,D2R0,0.67414
22,D2R1,0.73417
22,D3R0,0.81118
22,D3R1,0.79137
22,MidR0,0.79337
22,MidR1,0.75634
22,U0R0,0.80068
22,U0R1,0.80528
22,U0R2,0.75870
22,U1R0,0.75610
22,U1R1,0.76743
22,U1R2,0.73157
22,U2R0,0.78783
22,U2R1,0.76424
22,U2R2,0.74938
22,U3R0,0.77898
22,U3R1,0.78618
22,U3R2,0.79738
23,D0R0,0.66388
23,D0R1,0.72367
23,D1R0,0.72225
23,D1R1,0.63180
23,D2R0,0.68581
23,D2R1,0.74950
23,D3R0,0.80009
23,D3R1,0.78004
23,MidR0,0.78417
23,MidR1,0.76094
23,U0R0,0.80517
23,U0R1,0.80717
23,U0R2,0.75374
23,U1R0,0.74985
23,U1R1,0.75693
23,U1R2,0.72733
23,U2R0,0.78170
23,U2R1,0.77887
23,U2R2,0.75292
23,U3R0,0.78004
23,U3R1,0.77828
