defect_type,step,auc,ci_low,ci_high,block_mode,block
count,1,0.84173,0.68440,0.97188,perbest,U3R2
count,2,0.85252,0.70936,0.96560,perbest,U2R1
count,3,0.85755,0.72437,0.95976,perbest,U2R0
count,4,0.81583,0.61011,0.96102,perbest,U1R0
count,5,0.83237,0.70067,0.97577,perbest,U0R1
count,6,0.80719,0.69355,0.95982,perbest,U0R1
count,7,0.79640,0.62211,0.94718,perbest,U2R2
count,8,0.80863,0.59939,0.97531,perbest,U2R1
count,9,0.80504,0.63156,0.93598,perbest,D1R1
count,10,0.79137,0.59001,0.94167,perbest,D1R1
count,11,0.79712,0.65125,0.94272,perbest,D0R0
count,12,0.81367,0.65138,0.95049,perbest,D0R0
count,13,0.81367,0.67012,0.95062,perbest,D0R0
count,14,0.82014,0.70620,0.94117,perbest,D0R0
count,15,0.82878,0.69879,0.94685,perbest,D0R0
count,16,0.82662,0.69282,0.94867,perbest,D0R0
count,17,0.82518,0.71478,0.94836,perbest,D0R0
count,18,0.81655,0.68544,0.92193,perbest,D0R0
count,19,0.80863,0.69207,0.94487,perbest,D0R0
count,20,0.79353,0.65692,0.93831,perbest,D0R0
count,21,0.79281,0.65036,0.90381,perbest,MidR1
count,22,0.79281,0.67818,0.93679,perbest,MidR1
count,23,0.78849,0.68914,0.90606,perbest,MidR1
count,24,0.77338,0.64921,0.91833,perbest,MidR1
count,25,0.77338,0.66548,0.89423,perbest,MidR1
count,26,0.75899,0.64170,0.90590,perbest,MidR1
count,27,0.76403,0.48337,0.95260,perbest,D2R0
count,28,0.78058,0.58511,0.96087,perbest,D2R0
count,29,0.78489,0.56826,0.95042,perbest,D2R0
count,30,0.78201,0.56151,0.95629,perbest,D2R0
count,31,0.77986,0.54518,0.95975,perbest,D2R0
count,32,0.77770,0.57455,0.94900,perbest,D2R0
count,33,0.77770,0.56595,0.95700,perbest,D2R0
count,34,0.77338,0.54948,0.94663,perbest,D2R0
count,35,0.76906,0.56384,0.93621,perbest,D2R0
count,36,0.76331,0.55166,0.93375,perbest,D2R0
count,37,0.76115,0.51039,0.94033,perbest,D2R0
count,38,0.75827,0.55871,0.92536,perbest,D2R0
count,39,0.74388,0.53266,0.91083,perbest,D2R0
count,40,0.74101,0.51908,0.93086,perbest,D2R0
count,41,0.73309,0.50060,0.90387,perbest,D2R0
count,42,0.71871,0.43613,0.91880,perbest,D2R0
count,43,0.71727,0.51344,0.93402,perbest,U3R2
count,44,0.70935,0.49460,0.91923,perbest,U3R2
count,45,0.70072,0.47379,0.87485,perbest,U3R2
count,46,0.69568,0.45716,0.87270,perbest,U3R2
count,47,0.69209,0.48390,0.88641,perbest,U3R2
count,48,0.67914,0.36835,0.90601,perbest,U0R1
count,49,0.70288,0.34487,0.93755,perbest,U0R1
count,50,0.72014,0.42671,0.92355,perbest,U0R1
physics,1,0.90248,0.83216,0.95790,lstar,D0R1
physics,2,0.89488,0.82411,0.95639,lstar,D0R1
physics,3,0.89169,0.82794,0.95159,lstar,D0R1
physics,4,0.89648,0.83895,0.95252,lstar,D0R1
physics,5,0.89768,0.82858,0.95668,lstar,D0R1
physics,6,0.90208,0.82659,0.96281,lstar,D0R1
physics,7,0.90328,0.82862,0.95874,lstar,D0R1
physics,8,0.90647,0.83832,0.95971,lstar,D0R1
physics,9,0.91007,0.84291,0.96484,lstar,D0R1
physics,10,0.91047,0.84519,0.96825,lstar,D0R1
physics,11,0.91247,0.84611,0.96741,lstar,D0R1
physics,12,0.90687,0.84027,0.96723,lstar,D0R1
physics,13,0.89808,0.82443,0.95315,lstar,D0R1
physics,14,0.89768,0.83100,0.95654,lstar,D0R1
physics,15,0.89329,0.82552,0.95144,lstar,D0R1
physics,16,0.88809,0.82244,0.94544,lstar,D0R1
physics,17,0.87730,0.79748,0.94960,lstar,D0R1
physics,18,0.85931,0.77871,0.94737,lstar,D0R1
physics,19,0.84492,0.74713,0.93545,lstar,D0R1
physics,20,0.82814,0.73176,0.91233,lstar,D0R1
physics,21,0.81655,0.70536,0.91784,lstar,D0R1
physics,22,0.79696,0.68890,0.90576,lstar,D0R1
physics,23,0.77738,0.65866,0.88968,lstar,D0R1
physics,24,0.75819,0.62536,0.86551,lstar,D0R1
physics,25,0.75060,0.61467,0.88252,lstar,D0R1
physics,26,0.73581,0.61459,0.87317,lstar,D0R1
physics,27,0.72342,0.57748,0.87235,lstar,D0R1
physics,28,0.71343,0.54395,0.85890,lstar,D0R1
physics,29,0.70424,0.54640,0.84701,lstar,D0R1
physics,30,0.70264,0.54166,0.86294,lstar,D0R1
physics,31,0.69864,0.52098,0.85532,lstar,D0R1
physics,32,0.69624,0.51719,0.84994,lstar,D0R1
physics,33,0.68905,0.49419,0.84611,lstar,D0R1
physics,34,0.68505,0.50350,0.85602,lstar,D0R1
physics,35,0.68066,0.50341,0.86311,lstar,D0R1
physics,36,0.68305,0.50265,0.90121,lstar,D0R1
physics,37,0.68106,0.48618,0.87464,lstar,D0R1
physics,38,0.67906,0.48898,0.84701,lstar,D0R1
physics,39,0.67706,0.50056,0.85453,lstar,D0R1
physics,40,0.68106,0.51279,0.85564,lstar,D0R1
physics,41,0.68345,0.46437,0.87945,lstar,D0R1
physics,42,0.68265,0.50307,0.88626,lstar,D0R1
physics,43,0.68425,0.48262,0.85022,lstar,D0R1
physics,44,0.68265,0.46557,0.87546,lstar,D0R1
physics,45,0.68745,0.49924,0.87465,lstar,D0R1
physics,46,0.68785,0.48815,0.89396,lstar,D0R1
physics,47,0.68505,0.47728,0.88727,lstar,D0R1
physics,48,0.68625,0.47575,0.88163,lstar,D0R1
physics,49,0.69464,0.47890,0.88431,lstar,D0R1
physics,50,0.72302,0.55390,0.88690,lstar,D0R1
physics,1,0.94604,0.90244,0.98085,perbest,U0R2
physics,2,0.95364,0.91456,0.99029,perbest,U1R0
physics,3,0.96163,0.93238,0.98774,perbest,U1R0
physics,4,0.95524,0.91702,0.98273,perbest,U1R0
physics,5,0.94444,0.87872,0.98837,perbest,U1R0
physics,6,0.94484,0.88945,0.98499,perbest,U0R1
physics,7,0.94844,0.90449,0.98074,perbest,U1R2
physics,8,0.94644,0.90540,0.98712,perbest,U1R2
physics,9,0.94604,0.90406,0.98051,perbest,U1R2
physics,10,0.93965,0.88955,0.98943,perbest,U1R2
physics,11,0.95404,0.92524,0.98112,perbest,MidR1
physics,12,0.95643,0.92755,0.98273,perbest,MidR1
physics,13,0.94444,0.89782,0.97245,perbest,MidR1
physics,14,0.93245,0.87483,0.97554,perbest,MidR1
physics,15,0.92446,0.85406,0.97144,perbest,U1R2
physics,16,0.91207,0.83787,0.97191,perbest,U1R2
physics,17,0.90328,0.81442,0.96564,perbest,U1R2
physics,18,0.89928,0.80807,0.97380,perbest,U1R2
physics,19,0.89528,0.81806,0.97774,perbest,MidR1
physics,20,0.89568,0.80973,0.97306,perbest,MidR1
physics,21,0.89648,0.80301,0.96447,perbest,U0R0
physics,22,0.90008,0.82660,0.96942,perbest,MidR0
physics,23,0.90887,0.83622,0.96600,perbest,MidR0
physics,24,0.91447,0.80226,0.98160,perbest,MidR1
physics,25,0.92046,0.82288,0.97852,perbest,MidR1
physics,26,0.92446,0.84038,0.97721,perbest,MidR1
physics,27,0.92686,0.86026,0.98112,perbest,MidR1
physics,28,0.92966,0.87588,0.97156,perbest,MidR0
physics,29,0.92646,0.87083,0.96969,perbest,MidR0
physics,30,0.92606,0.87558,0.96758,perbest,MidR0
physics,31,0.92726,0.86938,0.96997,perbest,MidR0
physics,32,0.92766,0.87848,0.97306,perbest,MidR0
physics,33,0.92726,0.87000,0.96479,perbest,MidR0
physics,34,0.93086,0.87295,0.97348,perbest,MidR0
physics,35,0.93165,0.88079,0.97162,perbest,MidR0
physics,36,0.92886,0.87368,0.97776,perbest,MidR0
