step,block_name,auc
20,U0R2,0.78104
20,U1R0,0.78740
20,U1R1,0.79761
20,U1R2,0.78021
20,U2R0,0.82153
20,U2R1,0.81306
20,U2R2,0.83189
20,U3R0,0.80923
20,U3R1,0.80738
20,U3R2,0.79070
21,D0R0,0.74064
21,D0R1,0.81616
21,D1R0,0.81954
21,D1R1,0.78097
21,D2R0,0.78249
21,D2R1,0.74515
21,D3R0,0.79105
21,D3R1,0.78327
21,MidR0,0.79780
21,MidR1,0.80641
21,U0R0,0.79722
21,U0R1,0.78825
21,U0R2,0.77744
21,U1R0,0.78409
21,U1R1,0.79769
21,U1R2,0.78142
21,U2R0,0.81815
21,U2R1,0.81324
21,U2R2,0.83179
21,U3R0,0.80762
21,U3R1,0.80617
21,U3R2,0.78930
22,D0R0,0.74986
22,D0R1,0.81553
22,D1R0,0.81812
22,D1R1,0.78083
22,D2R0,0.78158
22,D2R1,0.74510
22,D3R0,0.79219
22,D3R1,0.78462
22,MidR0,0.79530
22,MidR1,0.80647
22,U0R0,0.80408
22,U0R1,0.79169
22,U0R2,0.77970
22,U1R0,0.78198
22,U1R1,0.79883
22,U1R2,0.78551
22,U2R0,0.81561
22,U2R1,0.81577
22,U2R2,0.83222
22,U3R0,0.80706
22,U3R1,0.80284
22,U3R2,0.78990
23,D0R0,0.75310
23,D0R1,0.81373
23,D1R0,0.81682
23,D1R1,0.78199
23,D2R0,0.78314
23,D2R1,0.74811
23,D3R0,0.79291
23,D3R1,0.78570
23,MidR0,0.79021
23,MidR1,0.80880
23,U0R0,0.80781
23,U0R1,0.79219
23,U0R2,0.78619
23,U1R0,0.78027
23,U1R1,0.79805
23,U1R2,0.78949
23,U2R0,0.81314
23,U2R1,0.81814
23,U2R2,0.83327
23,U3R0,0.80712
23,U3R1,0.79934
23,U3R2,0.78850
24,D0R0,0.75616
24,D0R1,0.81150
24,D1R0,0.81572
24,D1R1,0.78206
24,D2R0,0.78522
24,D2R1,0.75301
24,D3R0,0.79200
24,D3R1,0.78621
24,MidR0,0.78443
24,MidR1,0.80895
24,U0R0,0.80773
24,U0R1,0.78836
24,U0R2,0.79167
24,U1R0,0.77932
24,U1R1,0.79361
24,U1R2,0.79267
24,U2R0,0.81180
24,U2R1,0.81924
24,U2R2,0.83211
24,U3R0,0.80735
24,U3R1,0.79737
24,U3R2,0.78763
25,D0R0,0.76167
25,D0R1,0.81058
25,D1R0,0.81343
25,D1R1,0.78056
25,D2R0,0.78755
25,D2R1,0.75301
25,D3R0,0.78761
25,D3R1,0.78266
25,MidR0,0.77905
25,MidR1,0.80704
25,U0R0,0.80279
25,U0R1,0.78414
25,U0R2,0.79291
25,U1R0,0.77991
25,U1R1,0.78976
25,U1R2,0.79622
25,U2R0,0.81080
25,U2R1,0.81704
25,U2R2,0.82909
25,U3R0,0.80677
25,U3R1,0.79286
25,U3R2,0.78716
26,D0R0,0.76491
26,D0R1,0.80802
26,D1R0,0.81209
26,D1R1,0.77949
26,D2R0,0.79025
26,D2R1,0.75411
26,D3R0,0.78341
26,D3R1,0.77631
26,MidR0,0.77416
26,MidR1,0.80544
26,U0R0,0.79896
26,U0R1,0.77863
26,U0R2,0.79366
26,U1R0,0.77781
26,U1R1,0.78438
26,U1R2,0.79810
26,U2R0,0.80989
26,U2R1,0.81335
26,U2R2,0.82463
26,U3R0,0.80450
26,U3R1,0.78965
26,U3R2,0.78564
27,D0R0,0.76818
27,D0R1,0.80701
27,D1R0,0.81102
27,D1R1,0.77937
27,D2R0,0.79250
27,D2R1,0.75466
27,D3R0,0.78104
27,D3R1,0.76948
27,MidR0,0.76986
27,MidR1,0.80182
27,U0R0,0.79382
27,U0R1,0.77295
27,U0R2,0.79337
27,U1R0,0.77655
27,U1R1,0.77781
27,U1R2,0.79794
27,U2R0,0.80876
27,U2R1,0.80965
27,U2R2,0.82094
27,U3R0,0.80370
27,U3R1,0.78637
27,U3R2,0.78490
28,D0R0,0.76786
28,D0R1,0.80630
28,D1R0,0.81016
28,D1R1,0.77787
28,D2R0,0.79465
28,D2R1,0.75516
28,D3R0,0.77890
28,D3R1,0.76440
28,MidR0,0.76635
28,MidR1,0.79746
28,U0R0,0.78989
28,U0R1,0.76657
28,U0R2,0.79312
28,U1R0,0.77765
28,U1R1,0.77321
28,U1R2,0.79866
28,U2R0,0.80668
28,U2R1,0.80607
28,U2R2,0.81739
28,U3R0,0.80240
28,U3R1,0.78403
28,U3R2,0.78223
29,D0R0,0.77060
29,D0R1,0.80464
29,D1R0,0.80886
29,D1R1,0.77551
29,D2R0,0.79504
29,D2R1,0.75433
29,D3R0,0.77795
29,D3R1,0.76023
29,MidR0,0.76181
29,MidR1,0.79390
29,U0R0,0.78506
29,U0R1,0.76057
29,U0R2,0.79111
29,U1R0,0.77991
29,U1R1,0.76999
29,U1R2,0.80138
29,U2R0,0.80490
29,U2R1,0.80402
29,U2R2,0.81453
29,U3R0,0.80095
29,U3R1,0.78311
29,U3R2,0.77981
30,D0R0,0.76991
30,D0R1,0.80248
30,D1R0,0.80749
30,D1R1,0.77494
30,D2R0,0.79482
30,D2R1,0.75484
30,D3R0,0.77520
30,D3R1,0.75931
30,MidR0,0.75863
30,MidR1,0.78888
30,U0R0,0.78067
30,U0R1,0.75530
30,U0R2,0.78702
30,U1R0,0.78188
30,U1R1,0.76762
30,U1R2,0.80311
30,U2R0,0.80291
30,U2R1,0.80079
30,U2R2,0.81077
30,U3R0,0.79843
30,U3R1,0.78180
30,U3R2,0.77991
31,D0R0,0.77228
31,D0R1,0.79971
31,D1R0,0.80615
31,D1R1,0.77564
31,D2R0,0.79511
31,D2R1,0.75651
31,D3R0,0.77262
31,D3R1,0.75867
31,MidR0,0.75271
31,MidR1,0.78390
31,U0R0,0.77566
31,U0R1,0.75024
31,U0R2,0.78317
31,U1R0,0.78483
31,U1R1,0.76619
31,U1R2,0.80313
31,U2R0,0.80213
31,U2R1,0.79818
31,U2R2,0.80728
31,U3R0,0.79619
31,U3R1,0.78163
31,U3R2,0.77800
32,D0R0,0.77179
32,D0R1,0.79705
32,D1R0,0.80467
32,D1R1,0.77585
32,D2R0,0.79573
32,D2R1,0.75952
32,D3R0,0.76982
32,D3R1,0.75587
32,MidR0,0.74698
32,MidR1,0.77932
32,U0R0,0.77125
32,U0R1,0.74666
32,U0R2,0.77980
32,U1R0,0.78624
32,U1R1,0.76616
32,U1R2,0.80313
32,U2R0,0.80141
32,U2R1,0.79641
32,U2R2,0.80531
32,U3R0,0.79356
32,U3R1,0.78045
32,U3R2,0.77553
33,D0R0,0.77142
33,D0R1,0.79461
33,D1R0,0.80217
33,D1R1,0.77451
33,D2R0,0.79627
33,D2R1,0.76286
33,D3R0,0.76837
33,D3R1,0.75406
33,MidR0,0.74370
33,MidR1,0.77774
33,U0R0,0.76845
33,U0R1,0.74362
33,U0R2,0.77666
33,U1R0,0.78678
33,U1R1,0.76773
33,U1R2,0.80157
33,U2R0,0.80007
33,U2R1,0.79441
33,U2R2,0.80346
33,U3R0,0.79172
33,U3R1,0.78016
33,U3R2,0.77566
34,D0R0,0.77217
34,D0R1,0.79218
34,D1R0,0.79942
34,D1R1,0.77359
34,D2R0,0.79676
34,D2R1,0.76697
34,D3R0,0.76722
34,D3R1,0.75169
34,MidR0,0.74120
34,MidR1,0.78011
34,U0R0,0.76646
34,U0R1,0.74252
34,U0R2,0.77553
34,U1R0,0.78645
34,U1R1,0.76993
34,U1R2,0.79835
34,U2R0,0.79923
34,U2R1,0.79375
34,U2R2,0.80295
34,U3R0,0.78995
34,U3R1,0.77972
34,U3R2,0.77518
35,D0R0,0.77217
35,D0R1,0.78871
35,D1R0,0.79808
35,D1R1,0.77292
35,D2R0,0.79649
35,D2R1,0.76943
35,D3R0,0.76681
35,D3R1,0.74976
35,MidR0,0.74031
35,MidR1,0.78139
35,U0R0,0.76393
35,U0R1,0.74398
35,U0R2,0.77649
35,U1R0,0.78697
35,U1R1,0.77252
35,U1R2,0.79586
35,U2R0,0.79980
35,U2R1,0.79441
35,U2R2,0.80311
35,U3R0,0.78898
35,U3R1,0.78124
35,U3R2,0.77440
36,D0R0,0.77198
36,D0R1,0.78516
36,D1R0,0.79536
36,D1R1,0.77287
36,D2R0,0.79621
36,D2R1,0.77173
36,D3R0,0.76682
36,D3R1,0.74839
36,MidR0,0.74317
36,MidR1,0.78215
36,U0R0,0.76238
36,U0R1,0.74645
36,U0R2,0.77677
36,U1R0,0.78720
36,U1R1,0.77564
36,U1R2,0.79326
36,U2R0,0.80081
36,U2R1,0.79511
36,U2R2,0.80451
36,U3R0,0.78748
36,U3R1,0.78272
36,U3R2,0.77359
37,D0R0,0.77190
37,D0R1,0.78287
37,D1R0,0.79277
37,D1R1,0.77267
37,D2R0,0.79447
37,D2R1,0.77179
37,D3R0,0.76566
37,D3R1,0.74615
37,MidR0,0.74811
37,MidR1,0.78301
37,U0R0,0.75992
37,U0R1,0.74884
37,U0R2,0.77830
37,U1R0,0.78796
37,U1R1,0.77715
37,U1R2,0.79196
37,U2R0,0.80240
37,U2R1,0.79687
37,U2R2,0.80673
37,U3R0,0.78646
37,U3R1,0.78346
37,U3R2,0.77309
38,D0R0,0.77096
38,D0R1,0.78132
38,D1R0,0.79071
38,D1R1,0.77228
38,D2R0,0.79078
38,D2R1,0.77099
38,D3R0,0.76568
38,D3R1,0.74408
38,MidR0,0.75318
38,MidR1,0.78306
38,U0R0,0.75770
38,U0R1,0.74920
38,U0R2,0.78032
38,U1R0,0.78790
38,U1R1,0.77714
38,U1R2,0.78960
38,U2R0,0.80416
38,U2R1,0.79729
